siteID,siteLat,siteLon,siteDepth,sensorDir,params_sensor,params,units,DataURL,saveDir,loDir,sscDir,sscX,sscY
NPBY1_PtWells,47.76116666,-122.3971667,profile,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,260,105
NPBY2_CarrInlet,47.28,-122.73,profile,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,153,35
PISCES1_South,47.665112,-122.873272,profile,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,179,120
PISCES2_North,47.692312,-122.865058,profile,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,183,125
ORCA1_Twanoh,47.375,-123.0083333,profile,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,124,73
ORCA2_Hoodsport,47.42181666,-123.1125833,profile,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,115,90
ORCA3_Hansville,47.90733333,-122.6270833,profile,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,244,149
ORCA4_DabobBay,47.80341666,-122.8029167,profile,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,206,142
BaynesSound_Historical_5m,49.487,-124.7693,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,126,607
BaynesSound_Historical_20m,49.487,-124.7693,20,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,126,607
BaynesSound_Historical_40m,49.487,-124.7693,40,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,126,607
FolgerDeep,48.80829167,-125.2815,95,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-999,-999
FolgerPinnacle,48.80829167,-125.2815,25,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-999,-999
Hakai_Burkeolator,50.116,-125.222,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,138,762
BMSC_Burkeolator,48.836633,-125.1362667,20,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-999,-999
ButeInlet_Historical,50.597,-124.899,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,246,835
KwakshuaChannel,51.6499,-127.9663,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-999,-999
ButeInlet_WireWalker,50.597,-124.899,profile,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,246,835
Baynes_Profiler,49.487,-124.7693,profile,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,126,607
